student_id,age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,parental_support_level,motivation_level,exam_anxiety_score,time_management_score,exam_score,study_to_social_ratio,work_life_balance,academic_engagement,stress_support_ratio,total_distractions,sleep_deficit,study_efficiency,habit_cluster,gender_Male,gender_Other,major_Biology,major_Business,major_Computer Science,major_Engineering,major_Psychology,part_time_job_Yes,diet_quality_Good,diet_quality_Poor,parental_education_level_High School,parental_education_level_Master,parental_education_level_PhD,parental_education_level_Some College,internet_quality_Low,internet_quality_Medium,extracurricular_participation_Yes,study_environment_Co-Learning Group,study_environment_Dorm,study_environment_Library,study_environment_Quiet Room,access_to_tutoring_Yes,family_income_range_Low,family_income_range_Medium,learning_style_Kinesthetic,learning_style_Reading,learning_style_Visual
100044,17,7.4,4.5,1.2,42.7,8.7,2,6.1,4.0,8,4.4,No,5,13.9,2,4,10,9.0,100,1.3454545454545455,18.1,3.843,1.4666666666666668,5.7,-0.6999999999999993,66.60000000000001,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
100045,27,0.5,1.4,2.8,97.0,5.9,7,8.8,3.42,7,4.9,No,1,5.1,6,9,6,9.1,78,0.20833333333333334,13.4,8.827,0.7000000000000001,4.199999999999999,2.0999999999999996,4.55,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
100046,17,8.205205575142877,4.1,2.2,59.7,5.2,3,9.0,4.0,4,4.9,No,0,15.7,5,3,10,9.9,99,1.6088638382633094,16.405205575142876,5.910300000000001,0.8166666666666668,6.3,2.8,81.23153519391448,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0
100047,26,4.3,3.7,2.1,66.9,7.6,7,4.8,4.0,1,7.2,Yes,5,11.6,8,9,6,3.0,100,0.9148936170212765,18.9,2.007,0.8,5.800000000000001,0.40000000000000036,12.899999999999999,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
100048,24,3.1,4.5,0.3,43.9,6.8,2,8.8,3.59,1,5.2,No,4,8.1,6,7,8,10.0,84,0.5636363636363636,11.9,4.39,0.7428571428571429,4.8,1.2000000000000002,31.0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
100049,22,0.8,2.0,2.9,79.9,6.1,5,4.4,3.18,2,4.4,No,5,6.3,8,2,10,1.8,84,0.26666666666666666,11.899999999999999,1.4382000000000001,0.48888888888888893,4.9,1.9000000000000004,1.4400000000000002,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
100050,27,7.3,2.1,3.7,76.0,8.4,4,7.0,3.52,1,8.1,No,4,13.2,4,3,10,6.9,79,2.354838709677419,19.7,5.244,1.6199999999999999,5.800000000000001,-0.40000000000000036,50.370000000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
100051,21,5.3,1.5,1.4,74.0,5.6,2,6.5,3.24,4,7.3,No,2,8.2,1,2,10,7.7,88,2.12,12.899999999999999,5.698,3.65,2.9,2.4000000000000004,40.81,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
100052,18,4.0,0.4,1.8,64.9,6.5,7,5.3,4.0,6,6.3,No,2,7.0,6,7,8,2.0,98,2.857142857142857,17.5,1.298,0.9,2.2,1.5,8.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0
100053,16,4.4,1.4,0.5,50.5,6.7,6,7.4,3.13,1,2.1,No,0,7.3,9,6,9,1.6,70,1.8333333333333335,17.1,0.8080000000000002,0.21000000000000002,1.9,1.2999999999999998,7.040000000000001,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
100054,21,5.8,4.0,2.5,45.3,5.8,5,9.5,4.0,7,4.0,No,1,14.0,10,7,8,5.7,100,1.16,16.6,2.5820999999999996,0.36363636363636365,6.5,2.2,33.06,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
100055,21,7.447689835997439,0.5,1.0,85.6,7.0,2,5.5,4.0,2,7.7,No,4,9.3,8,8,7,7.8,98,4.965126557331626,16.447689835997437,6.676799999999999,0.8555555555555556,1.5,1.0,58.09198072078002,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
100056,26,1.2,4.0,2.4,58.6,7.5,1,9.6,3.09,6,7.2,Yes,4,8.3,5,2,10,6.8,79,0.24,9.7,3.9848000000000003,1.2,6.4,0.5,8.16,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
100057,28,5.003501877270392,4.5,1.4,42.3,4.6,2,9.2,3.45,8,6.4,No,2,12.3,9,10,5,2.4,88,0.9097276140491622,11.603501877270393,1.0151999999999999,0.64,5.9,3.4000000000000004,12.008404505448942,2,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
100058,26,4.523733655002461,3.3,3.6,44.9,6.2,5,5.4,3.99,6,5.8,No,5,13.2,7,3,10,6.4,96,1.052031082558712,15.723733655002462,2.8736,0.725,6.9,1.7999999999999998,28.951895392015754,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
100059,28,2.2,1.7,3.1,49.3,6.6,2,5.5,3.68,2,8.7,Yes,1,7.4,9,9,6,1.3,100,0.8148148148148149,10.8,0.6409,0.8699999999999999,4.8,1.4000000000000004,2.8600000000000003,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
100060,18,3.3,2.2,1.1,54.0,7.0,7,3.4,4.0,3,5.4,No,4,8.1,6,10,5,9.9,97,1.0312499999999998,17.3,5.346,0.7714285714285715,3.3000000000000003,1.0,32.67,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
100061,24,2.1,4.7,2.8,57.1,7.9,1,9.0,4.0,4,4.0,Yes,2,10.6,9,3,10,8.5,100,0.3684210526315789,11.0,4.8535,0.4,7.5,0.09999999999999964,17.85,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
100062,16,5.130825904749953,4.2,2.6,42.3,5.0,2,8.6,2.98,7,6.0,No,1,13.5,3,8,7,5.0,75,0.9866972893749909,12.130825904749953,2.115,1.5,6.800000000000001,3.0,25.654129523749766,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
100063,18,5.1,3.2,2.5,75.8,9.1,7,9.2,3.73,7,3.6,No,3,10.9,4,3,10,3.6,96,1.2142857142857142,21.2,2.7288,0.72,5.7,-1.0999999999999996,18.36,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
100064,18,4.4,1.9,1.5,87.3,6.0,5,3.8,4.0,2,6.0,No,1,9.3,6,3,10,1.4,99,1.517241379310345,15.4,1.2222,0.8571428571428571,3.4,2.0,6.16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
100065,28,4.4,1.5,0.2,58.9,6.6,0,7.3,3.52,8,4.2,No,0,6.5,8,5,10,1.3,83,1.7600000000000002,11.0,0.7657,0.4666666666666667,1.7,1.4000000000000004,5.720000000000001,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
100066,26,0.0,1.7,0.7,95.5,9.6,5,8.1,2.85,2,6.4,No,0,3.8,7,2,10,4.9,76,0.0,14.6,4.679500000000001,0.8,2.4,-1.5999999999999996,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
100067,21,2.0,3.6,3.6,56.5,8.6,6,10.0,3.07,5,7.3,Yes,4,10.4,7,6,9,5.6,79,0.4347826086956522,16.6,3.1639999999999997,0.9125,7.2,-0.5999999999999996,11.2,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
100068,26,3.2050948288547856,3.4,3.8,74.4,5.1,1,5.5,3.28,3,8.4,No,3,11.1,5,4,10,9.6,86,0.7284306429215421,9.305094828854784,7.1424,1.4000000000000001,7.199999999999999,2.9000000000000004,30.76891035700594,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
100069,24,6.0,0.6,3.4,99.8,8.7,7,6.7,4.0,5,5.3,No,5,10.9,6,2,10,5.9,97,3.75,21.7,5.8882,0.7571428571428571,4.0,-0.6999999999999993,35.400000000000006,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100070,27,4.4,2.5,1.4,88.2,5.1,7,6.6,4.0,3,4.4,No,4,9.4,2,5,10,4.6,96,1.2571428571428573,16.5,4.0572,1.4666666666666668,3.9,2.9000000000000004,20.24,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0
100071,17,6.5,3.2,0.7,70.2,8.6,6,8.7,3.65,2,1.0,No,4,12.3,3,5,10,2.5,85,1.5476190476190474,21.1,1.755,0.25,3.9000000000000004,-0.5999999999999996,16.25,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
100072,20,1.7,0.8,3.8,90.6,7.8,5,8.1,4.0,4,8.9,No,0,6.6,1,10,5,3.4,99,0.9444444444444444,14.5,3.0803999999999996,4.45,4.6,0.20000000000000018,5.779999999999999,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
100073,23,2.2,3.4,0.6,52.2,9.3,7,5.8,4.0,5,4.9,No,0,7.0,6,6,9,9.8,100,0.5,18.5,5.115600000000001,0.7000000000000001,4.0,-1.3000000000000007,21.560000000000002,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
100074,21,5.4,1.9,2.5,88.8,5.9,2,3.5,4.0,2,4.5,No,3,10.3,3,8,7,10.0,100,1.8620689655172415,13.3,8.88,1.125,4.4,2.0999999999999996,54.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
100075,16,6.2,4.4,2.6,90.8,7.3,0,5.6,3.86,8,7.9,No,1,14.1,6,7,8,4.3,98,1.1481481481481481,13.5,3.9044,1.1285714285714286,7.0,0.7000000000000002,26.66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
100076,21,3.6,4.9,1.6,73.5,5.6,5,6.3,3.17,2,4.1,No,5,11.7,10,9,6,4.6,77,0.6101694915254237,14.2,3.381,0.3727272727272727,6.5,2.4000000000000004,16.56,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
100077,21,3.2,3.1,3.4,82.5,7.8,7,7.1,4.0,8,6.8,No,5,10.9,6,2,10,9.8,100,0.7804878048780489,18.0,8.085,0.9714285714285714,6.5,0.20000000000000018,31.360000000000003,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
100078,27,2.8211828352491244,3.9,1.5,41.9,6.5,3,8.8,4.0,8,4.0,Yes,3,9.9,1,8,7,3.8,100,0.5757515990304335,12.321182835249125,1.5922,2.0,5.4,1.5,10.720494773946672,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
100079,24,2.1,4.8,1.8,80.6,9.2,5,3.9,2.76,1,4.1,No,2,9.8,8,4,10,9.6,70,0.3620689655172414,16.299999999999997,7.737599999999999,0.4555555555555555,6.6,-1.1999999999999993,20.16,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100080,28,0.0,3.6,1.2,93.7,7.6,6,8.7,4.0,4,5.8,No,5,5.9,5,1,10,3.6,96,0.0,13.6,3.3731999999999998,0.9666666666666667,4.8,0.40000000000000036,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
